# Gridmap generated by GridMapGenerator
# height width:
30 30
# minCost maxCost
1 50
# starting position:
4 27
# goal position:
23 1
# Blocked cells list
[
7 3
6 9
20 25
16 9
7 12
6 28
20 20
12 12
11 28
0 7
26 28
22 19
21 9
20 7
1 6
18 19
27 8
3 7
28 26
1 11
9 0
9 21
16 3
10 18
12 17
17 23
12 28
20 4
1 1
2 27
23 25
22 3
5 11
6 0
11 0
10 24
9 16
24 24
10 23
14 2
2 17
17 18
21 15
1 12
18 25
23 28
29 20
2 11
19 23
10 29
11 15
24 21
7 8
21 24
13 0
1 21
25 16
0 27
24 8
13 13
16 16
27 21
18 15
25 5
23 22
22 26
21 2
17 29
27 6
3 28
5 1
15 26
12 2
20 26
24 18
12 13
20 21
1 16
26 29
18 5
2 23
25 0
28 27
29 26
28 6
8 25
16 4
5 17
11 9
25 25
17 1
7 18
20 10
18 6
0 5
17 22
22 29
13 19
1 0
25 3
26 13
3 5
2 7
23 5
5 10
29 29
10 10
8 22
11 3
9 23
6 20
14 12
11 20
19 12
14 3
20 15
21 14
28 18
27 26
26 14
28 29
27 15
2 8
9 29
14 26
5 26
15 19
14 9
12 9
1 20
24 9
13 12
17 28
13 25
28 23
23 2
29 22
9 11
5 0
4 24
9 24
20 27
11 13
17 5
0 22
25 29
15 22
12 14
19 6
15 3
7 27
20 1
27 19
1 4
13 28
2 3
18 28
22 11
29 25
3 26
14 29
4 29
24 29
16 5
7 0
17 0
24 16
16 8
18 18
23 27
22 1
28 25
2 4
9 12
3 25
8 23
11 2
19 26
10 6
16 2
11 23
10 21
25 27
24 13
25 8
24 0
21 13
3 14
13 21
2 26
22 2
3 3
4 4
3 20
9 28
6 3
29 12
9 17
16 15
24 23
17 14
16 18
22 21
21 19
2 16
27 23
23 16
3 13
8 11
5 15
3 19
28 14
8 17
6 12
29 15
10 28
25 28
24 20
7 9
19 9
15 2
22 22
13 14
27 18
26 22
25 6
18 14
2 21
1 27
28 21
23 23
26 5
23 0
2 15
23 13
11 6
]
# Map: 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
